Year,GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",GDP_growth,LE_change,Internet_growth
2000,174.930991430166,,55.005,,,
2001,138.706821676113,0.00472,55.511,-20.707691334679247,0.5060000000000002,
2002,178.954088379235,0.00456,56.225,29.016068724508216,0.7139999999999986,-3.389830508474589
2003,198.871115728727,0.0879,57.171,11.12968556900713,0.945999999999998,1827.6315789473688
2004,221.763653873013,0.106,57.81,11.511243380116042,0.6390000000000029,20.591581342434573
2005,254.184249149336,1.22,58.247,14.619435922032476,0.4369999999999976,1050.943396226415
2013,637.087099117099,5.9,62.188,150.63988081448878,3.9410000000000025,383.6065573770492
2014,625.054941813938,7.0,62.26,-1.8886204601907155,0.0719999999999956,18.64406779661017
2015,565.569730408751,8.26,62.27,-9.516797232665375,0.0100000000000051,17.999999999999993
2016,522.082215583898,11.0,62.646,-7.689151750293188,0.3759999999999976,33.17191283292979
2017,525.469770891619,13.5,62.406,0.6488547601515737,-0.240000000000002,22.72727272727273
2018,491.337221382603,16.8,62.443,-6.495625704805008,0.036999999999999,24.444444444444446
2019,496.6025042585,17.6,62.941,1.0716230415193762,0.4980000000000046,4.761904761904767
2020,510.787063366811,17.0,61.454,2.8563204950991183,-1.487000000000002,-3.409090909090917
2021,356.496214115892,16.5,60.417,-30.20649118126124,-1.036999999999999,-2.941176470588236
2022,357.261152798144,17.2,65.617,0.2145713339899213,5.200000000000003,4.242424242424248
2023,413.757894705303,17.7,66.035,15.813849746792986,0.4179999999999921,2.906976744186052
2000,707.120377674078,,52.5573418626777,,,
2001,626.169149753934,,52.8755360536287,-11.44801231530278,0.3181941909509973,
2002,625.998816166344,,53.2067443343026,-0.0272024879630294,0.3312082806738985,
2003,809.968140498029,,53.6783047685822,29.38812655562588,0.4715604342796027,
2004,981.744631574583,,54.1929278660434,21.207808367738124,0.5146230974611967,
2005,1115.71395657647,,54.8076807136336,13.646046099281309,0.6147528475902035,
2013,1673.22110186487,,60.895739752772,49.96864492034243,6.0880590391384,
2014,1656.16770915726,,61.2514360156709,-1.019195412286111,0.3556962628988955,
2015,1479.61525980543,,61.713030523495,-10.660300184313376,0.4615945078241026,
2016,1329.80728479234,,62.1679813169199,-10.124792510776748,0.4549507934248993,
2017,1520.21223076132,,62.5912750961501,14.318236044158317,0.4232937792301996,
2018,1538.90167917284,,63.3306913582336,1.2293973192256449,0.7394162620835019,
2019,1493.81793829992,,63.8572612837043,-2.929605021755033,0.5265699254706959,
2020,1344.10320999294,,63.7664840026943,-10.022287486878534,-0.0907772810099984,
2021,1522.3933455926,,62.9799991857494,13.26461645758561,-0.786484816944899,
2022,1628.31894446307,,64.4870195456608,6.957833806691904,1.507020359911401,
2023,1568.15989105305,,65.146290855385,-3.694549744973774,0.659271309724204,
2024,1673.84113878039,,,6.739188288789433,,
2000,516.932316255791,,50.2979830815751,,,
2001,530.653167771193,,50.6777904131384,2.654283952449332,0.3798073315633061,
2002,616.796032637998,,51.1080235711343,16.23336486025615,0.4302331579958931,
2003,694.500937581338,,51.5781222446253,12.598152522317797,0.4700986734910017,
2004,840.252085094615,,52.106083093576,20.98645799109624,0.5279608489506984,
2005,1001.60460688173,,52.5557531001128,19.20287073955267,0.449670006536806,
2013,2131.66206746081,,55.5549074075857,112.8247067570165,2.9991543074728995,
2014,2221.01066549765,,55.6954463398569,4.191499178069535,0.1405389322711983,
2015,1860.72769393488,,56.0383356484355,-16.221577733038174,0.3428893085785987,
2016,1630.03944681121,,56.3924518507367,-12.397743521290527,0.3541162023011992,
2017,1574.23056047232,,56.6264388112566,-3.4237752005368383,0.2339869605198998,
2018,1720.14027955102,,57.036976441386,9.268637183293048,0.4105376301294043,
2019,1798.34068458315,,57.1498467555118,4.546164400762787,0.1128703141258,
2020,1680.03933212698,,57.3644254011107,-6.57836156799132,0.2145786455988982,
2021,1765.9547879785,,57.3625716910274,5.113895502836141,-0.0018537100833029,
2022,1796.66863273368,,57.9878133945189,1.7392203336269008,0.6252417034915041,
2023,1599.39298291654,,58.8557215483276,-10.980079811210365,0.867908153808699,
2024,1284.15444092323,,,-19.709886523227294,,
2000,1160.42047054038,0.114,74.826,,,
2001,1326.41652388077,0.326,75.083,14.304819464541984,0.257000000000005,185.96491228070172
2002,1479.83884572006,0.39,75.299,11.566677516231016,0.2160000000000081,19.631901840490794
2003,1908.69900687608,0.972,75.557,28.980193512040508,0.2579999999999955,149.23076923076923
2004,2446.90949947798,2.42,75.951,28.19776668102194,0.3939999999999912,148.97119341563786
2005,2741.72136549578,6.04,76.427,12.04833550569382,0.4760000000000133,149.58677685950414
2013,4420.23461988353,51.8,77.995,61.22114652173008,1.5679999999999978,757.615894039735
2014,4602.23051443229,54.3,78.029,4.117335621283269,0.0339999999999918,4.826254826254828
2015,3981.72662261867,56.9,78.358,-13.48267736411205,0.3290000000000077,4.788213627992644
2016,4168.37544462548,59.6,78.643,4.687635282305158,0.2849999999999966,4.7451669595782064
2017,4614.0479692596,62.4,78.9,10.691755830409932,0.257000000000005,4.697986577181212
2018,5365.48880180298,65.4,79.238,16.28593455355776,0.3379999999999938,4.807692307692313
2019,5460.4305086932,68.6,79.467,1.7694884920515852,0.2289999999999992,4.892966360856255
2020,5370.77749956875,72.2,77.824,-1.641867046594947,-1.643000000000001,5.247813411078739
2021,6413.28280828537,79.3,76.844,19.410696287461725,-0.980000000000004,9.833795013850398
2022,6846.42669381643,82.6,78.769,6.753855996674241,1.9250000000000116,4.161412358133676
2023,8575.17134637222,83.1,79.602,25.25032005552856,0.8329999999999984,0.6053268765133124
2024,10011.6279856667,,,16.75134619790637,,0.0
2000,1772.92869122761,0.492,70.576,,,
2001,1896.30020878013,0.646,71.025,6.9586282946944245,0.4490000000000123,31.30081300813008
2002,1937.46411413019,1.59,71.644,2.170748342454698,0.6189999999999998,146.13003095975233
2003,2283.77299346126,2.2,71.906,17.874337738974976,0.2620000000000004,38.36477987421385
2004,2816.99384960555,4.63,72.536,23.34824247729399,0.6299999999999955,110.45454545454544
2005,3233.13339634212,5.84,72.836,14.7724691267906,0.2999999999999971,26.13390928725703
2013,5979.60138960585,22.5,74.809,84.94756190298274,1.972999999999999,285.2739726027397
2014,6094.69392314956,29.5,74.992,1.9247526054792183,0.1830000000000069,31.11111111111111
2015,4685.05902729002,38.2,75.159,-23.12888741640173,0.1670000000000016,29.491525423728817
2016,4424.98529027556,42.9,75.31,-5.551130423321348,0.1509999999999962,12.303664921465952
2017,4554.66753957828,47.7,75.431,2.930682042892041,0.1209999999999951,11.18881118881121
2018,4577.21029180491,49.0,75.555,0.4949373808459612,0.1240000000000094,2.7253668763102645
2019,4468.45341883656,55.8,75.682,-2.3760514819052614,0.1269999999999953,13.877551020408152
2020,3743.5419522929,63.5,73.257,-16.2228717320366,-2.424999999999997,13.799283154121866
2021,4160.55926736925,72.2,75.208,11.13964583249638,1.9509999999999932,13.70078740157481
2022,4961.55257664733,74.8,76.129,19.25205862491064,0.9210000000000064,3.601108033240985
2023,5364.02795022731,76.9,76.261,8.11188367678135,0.1319999999999908,2.807486631016065
2024,5631.17999109851,,,4.980437151895889,,0.0
2000,,,71.443,,,
2001,,,71.573,,0.1299999999999954,
2002,8972.69636535698,,71.755,,0.1820000000000021,
2003,9197.66196836987,,71.698,2.507224070140923,-0.0570000000000021,
2004,8958.42866697173,,72.277,-2.601022979762113,0.5790000000000077,
2005,8831.26975996609,,72.382,-1.4194331587910505,0.1050000000000039,
2013,11813.5022034589,,72.769,33.769010850646474,0.3870000000000004,
2014,12026.3344929488,,72.687,1.801601979026879,-0.0820000000000078,
2015,12727.4102651386,,72.654,5.829505013359237,-0.0330000000000012,
2016,12843.3342903627,,72.64,0.9108217839227216,-0.0139999999999957,
2017,11863.6839452565,,72.801,-7.627694825644338,0.1610000000000013,
2018,12552.0546868861,,72.794,5.802335470213138,-0.007000000000005,
2019,12886.1359517218,,72.751,2.661566358412504,-0.0429999999999921,
2020,14489.2586563775,,72.672,12.440678188262444,-0.0790000000000077,
2021,15236.1604875571,,72.708,5.154865744983073,0.0360000000000013,
2022,18017.4589383973,,72.752,18.254588832347896,0.0439999999999969,
2023,,,72.852,0.0,0.1000000000000085,
2000,21810.2487431414,10.5,81.863,,,
2001,23511.2951475737,,82.162,7.7992985062457,0.2990000000000066,0.0
2002,26528.130158144,11.3,82.448,12.83142843316154,0.2859999999999871,7.619047619047636
2003,34063.5784034776,13.5,82.718,28.405500879300604,0.2700000000000102,19.469026548672552
2004,39021.1278101878,26.8,82.815,14.553812720404258,0.0969999999999942,98.51851851851852
2005,40829.801876968,37.6,83.086,4.635114791090134,0.2710000000000008,40.29850746268657
2013,42470.3161159692,84.4,84.406,4.017933380976357,1.3200000000000074,124.468085106383
2014,44369.659691379,86.1,84.485,4.472167266717442,0.0789999999999935,2.014218009478652
2015,38654.9347203095,87.9,84.532,-12.879803475661689,0.046999999999997,2.0905923344947785
2016,40129.8192007698,89.7,84.489,3.815514089292682,-0.0429999999999921,2.0477815699658564
2017,40672.9943348258,91.6,84.359,1.3535449321076864,-0.1300000000000096,2.1181716833890585
2018,42819.7745797624,,84.242,5.2781465442745645,-0.1169999999999902,0.0
2019,41257.8045846483,90.7,84.098,-3.647777248814199,-0.1440000000000054,-0.9825327510916916
2020,37361.0900666982,93.2,79.418,-9.444793675231178,-4.679999999999993,2.756339581036382
2021,42425.6996756291,93.9,82.331,13.5558400461266,2.9129999999999967,0.7510729613734002
2022,42414.0590092117,94.5,84.016,-0.0274377712245144,1.6850000000000025,0.6389776357827337
2023,46812.4484486309,95.4,84.041,10.370121469543726,0.0249999999999914,0.952380952380949
2024,49303.6733899464,,,5.321714680335976,,0.0
2000,563.733795571487,0.105,46.501,,,
2001,533.586202412447,0.136,47.032,-5.347842083598653,0.5309999999999988,29.52380952380953
2002,882.147847234303,0.27,47.874,65.32433620770944,0.8420000000000059,98.52941176470588
2003,992.698979254665,0.371,50.218,12.532041240814706,2.344000000000001,37.4074074074074
2004,1266.21086410236,0.465,51.123,27.55234875460959,0.904999999999994,25.336927223719677
2005,1916.46842218625,1.14,52.13,51.35460265892362,1.007000000000005,145.1612903225806
2013,5057.74787833163,13.0,59.705,163.90979469215057,7.574999999999996,1040.3508771929826
2014,5005.9997412707,21.4,60.396,-1.0231458409113103,0.6910000000000025,64.61538461538461
2015,3213.90261080059,22.0,61.042,-35.798985679036655,0.6460000000000008,2.8037383177570208
2016,1807.95294072643,23.2,61.619,-43.745870374209474,0.5769999999999982,5.454545454545445
2017,2437.25971190821,26.0,62.122,34.80769642869834,0.5030000000000001,12.068965517241391
2018,2538.59139143371,29.0,62.622,4.15760696451033,0.5,11.538461538461542
2019,2189.85571407618,32.1,63.051,-13.737369414168544,0.429000000000002,10.689655172413804
2020,1449.92286669308,36.6,63.116,-33.78911416980047,0.0649999999999977,14.018691588785035
2021,1925.87466082167,39.4,62.958,32.8260078561365,-0.1580000000000012,7.650273224043702
2022,2929.69445467272,42.1,64.246,52.12279979958679,1.2879999999999967,6.852791878172604
2023,2309.53413042773,44.8,64.617,-21.168088817448684,0.3710000000000093,6.413301662707838
2024,2122.08368991872,,,-8.116374555343487,,0.0
2000,12027.4949768222,6.48,74.819,,,
2001,11539.1825063308,8.9,75.108,-4.059968193147534,0.2890000000000015,37.34567901234567
2002,11658.6949915956,12.5,75.237,1.0357101571036864,0.1289999999999906,40.44943820224718
2003,12173.2319860305,17.2,75.313,4.413332665498282,0.0760000000000076,37.59999999999999
2004,13037.8895772257,24.3,75.329,7.10294186611613,0.0159999999999911,41.27906976744187
