Country Name,Country Code,Year,GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",GDP_growth,LE_change,Internet_growth,GDP_category,Internet_category
India,IND,2024,2696.66389984463,55.9,72.003,6.582437452528267,0.3050000000000068,0.0,Lower-middle,High
Indonesia,IDN,2024,4925.43048751861,69.2,71.146,1.0073757638701997,0.2210000000000036,0.0,Middle,High
"Iran, Islamic Rep.",IRN,2024,4771.40029026226,79.6,77.654,6.8470091938659605,0.8549999999999898,0.0,Middle,High
Iraq,IRQ,2024,6073.61032342708,81.7,72.324,1.8153594876517245,0.2869999999999919,0.0,Middle,Very High
Ireland,IRL,2024,107316.337306921,96.5,82.8609756097561,3.300230542982363,0.3512195121951009,0.0,High,Very High
Isle of Man,IMN,2023,88328.548125887,,80.999,0.0,0.0429999999999921,,High,
Israel,ISR,2024,54176.6844383302,87.0,83.1951219512195,4.178478697832055,0.4951219512195024,0.0,High,Very High
Italy,ITA,2024,40226.0472416173,87.0,83.7,2.970971957411317,1.0,0.0,High,Very High
Jamaica,JAM,2024,7019.74634780454,83.4,71.479,2.631996507007184,-0.0019999999999953,0.0,Middle,Very High
Japan,JPN,2024,32475.8924992191,87.0,84.0412195121951,-4.020203532844424,0.0448780487805038,0.0,High,Very High
Jordan,JOR,2024,4618.09592498567,92.5,77.814,3.403715919827821,0.7259999999999991,0.0,Middle,Very High
Kazakhstan,KAZ,2024,14005.3487362345,92.9,74.402,8.742012858738391,0.8990000000000009,0.0,Upper-middle,Very High
Kenya,KEN,2024,2206.1349785176,35.0,63.646,13.001577823104029,0.0970000000000013,0.0,Lower-middle,Medium
Kiribati,KIR,2024,2288.63458265531,88.0,66.473,5.094061796293392,0.2039999999999935,0.0,Lower-middle,Very High
"Korea, Dem. People's Rep.",PRK,2023,,0.0,73.642,,0.0009999999999905,,,
"Korea, Rep.",KOR,2023,33121.3712885508,97.4,83.4292682926829,2.2432320380292303,0.7487804878048081,0.2057613168724215,High,Very High
Kosovo,XKX,2024,7299.43498083118,89.4,78.033,17.331554937004,0.4099999999999966,0.0,Middle,Very High
Kuwait,KWT,2024,32213.8622292316,99.7,83.1878048780488,-5.46424188095701,2.5999999999999943,0.0,High,Very High
Kyrgyz Republic,KGZ,2024,2419.26553574523,88.5,72.2487804878049,13.143790504853904,0.1999999999999886,0.0,Lower-middle,Very High
Lao PDR,LAO,2024,2123.97909411797,63.6,68.964,2.7591040870919903,0.2489999999999952,0.0,Lower-middle,High
Late-demographic dividend,LTE,2024,12843.3344406811,,77.130120543495,3.385803268130849,0.1755402949823974,,Upper-middle,
Latin America & Caribbean,LCN,2024,11044.6796556507,,75.6435293327332,1.899206334548076,0.996330389101189,,Middle,
Latin America & Caribbean (excluding high income),LAC,2024,10344.66889924,,75.4986013301866,1.7482194858737363,1.0088750675390088,,Middle,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,10784.3171528207,,75.5699258379688,1.8049525259877357,1.001496483882903,,Middle,
Latvia,LVA,2024,23367.5986788961,92.2,75.6780487804878,3.051829726866906,1.4000000000000057,0.0,Upper-middle,Very High
Least developed countries: UN classification,LDC,2024,1325.30935386629,,66.5161002597788,5.666935286613439,0.7529144965624965,,Lower-middle,
Lebanon,LBN,2023,3477.72489842684,83.5,77.817,-4.833503857931798,-0.186000000000007,0.8454106280193274,Lower-middle,Very High
Lesotho,LSO,2024,971.814620468788,48.0,57.375,6.0605349870014535,0.5630000000000024,0.0,Low,Medium
Liberia,LBR,2024,846.277368387389,23.5,62.163,5.891294285884907,0.2289999999999992,0.0,Low,Medium
Libya,LBY,2024,6318.40314031017,88.5,69.339,2.3585791991820537,-5.123000000000005,0.0,Middle,Very High
