Actual_GDP,Actual_Life_Expectancy,Predicted_Life_Expectancy,Residual
34063.5784034776,82.718,74.79147636139616,7.92652363860384
2439.35189403696,63.662,68.20794917234912,-4.545949172349118
747.968003672674,65.257,67.85583710326799,-2.5988371032679822
17913.4928066879,69.888,71.42935373050236,-1.541353730502351
26178.7537607708,72.994,73.1500146358222,-0.15601463582220276
13082.3006559554,74.2536585365854,70.42359680328192,3.8300617333034808
34065.6438962526,83.9963414634146,74.79190635540215,9.204435108012447
40415.9567649547,84.3563414634146,76.11391362781954,8.242427835595052
3991.7767076924,73.82,68.53113275967262,5.288867240327377
1189.51479345891,68.117,67.94775825412765,0.1692417458723554
1422.27331810957,64.108,67.99621389224617,-3.8882138922461706
1675.19555711109,69.635,68.04886720968571,1.586132790314295
3054.908203125,71.803,68.3360956013554,3.4669043986446013
17789.9304736722,76.4243902439025,71.40363054076022,5.020759703142275
1916.46842218625,52.13,68.09909536203996,-15.969095362039958
44690.9345395117,82.9292682926829,77.00387792158547,5.925390371097436
584.897740538081,53.975,67.82188915798777,-13.846889157987768
8098.70955668849,74.4780487804878,69.38611348360857,5.091935296879228
85897.7843338323,83.0,85.58231432744985,-2.5823143274498506
873.437861875428,63.605,67.88195740134508,-4.276957401345079
1775.67625581432,72.585,68.06978526792469,4.515214732075307
41203.5295847568,78.1390243902439,76.27787043071474,1.8611539595291617
66881.6067035265,83.2975609756098,81.62352904542902,1.6740319301807745
12165.220135038,76.452,70.23267910471931,6.219320895280688
13263.6195488046,73.3297162833404,70.46134374582309,2.868372537517317
28282.2236715857,78.9292682926829,73.58791471679518,5.341353575887723
834.936014905338,72.271,67.87394209206057,4.397057907939427
358.315716051546,45.448,67.77471934283638,-22.326719342836377
2929.69445467272,64.246,68.31002862017147,-4.06402862017147
2315.62215223014,73.632,68.18219113146753,5.449808868532472
10963.1756422364,72.1822239463874,69.98243764510792,2.199786301279474
709.091535894695,59.578,67.84774380547448,-8.269743805474477
26781.6195938652,73.023,73.27551916325592,-0.2525191632559256
71692.1589001679,78.898,82.6249891498039,-3.7269891498038987
7857.03148786492,71.2536585365854,69.3358009759929,1.917857560592509
948.656629871231,52.447,67.89761643427285,-15.450616434272845
6479.53231292429,76.418,69.04903338443127,7.368966615568738
4145.43989673265,76.491,68.56312234154271,7.927877658457291
6677.07003901644,66.583,69.09015676147898,-2.5071567614789814
21304.9776454565,72.785,72.13539258462606,0.6496074153739357
1054.97408066814,59.528,67.9197495867717,-8.391749586771702
109269.520580298,82.509756097561,90.44783921192123,-7.938083114360239
25813.5767274227,75.072,73.07399213050827,1.9980078694917296
168.676285365186,64.197,67.73524023185585,-3.538240231855852
25529.6813131565,81.8975609756097,73.0148908216396,8.882670153970096
3689.14471813777,70.942,68.46813087309957,2.473869126900425
1742.66799324117,65.799,68.06291361229546,-2.263913612295454
19141.5118743615,74.0463414634146,71.68500257359055,2.3613388898240544
23852.8389514753,77.9512195121951,72.66580600602906,5.285413506166037
6413.28280828537,76.844,69.03524157153362,7.808758428466376
996.379292136901,58.873,67.90755133163599,-9.034551331635988
9680.52798074468,72.780487804878,69.7154162287619,3.065071576116111
15509.8069109784,77.004,70.92895472647903,6.075045273520971
6322.82855503156,66.725,69.01641081734952,-2.2914108173495293
1233.19666209269,66.889,67.9568519396201,-1.0678519396200983
5358.70127494396,71.206,68.8156989308386,2.39030106916141
60047.7190728307,78.5390243902439,80.20085124459342,-1.6618268543495276
734.159908450927,65.356,67.85296253587599,-2.496962535875994
10638.1269396653,72.552,69.91476905025701,2.6372309497429995
62520.4509747011,80.7,80.71562423682228,-0.015624236822276316
1002.30913908852,68.252,67.90878580637077,0.34321419362922256
46627.0122356944,85.257,77.40693031400117,7.850069685998832
29252.9312377352,81.7219512195122,73.78999648636673,7.931954733145474
39049.8703780223,78.8170731707317,75.82952194891882,2.987551221812879
20740.1325828172,73.044,72.01780321603314,1.0261967839668529
810.10870037444,65.123,67.86877354508611,-2.7457735450861094
22164.0260273876,75.676,72.31422916035898,3.361770839641025
47995.7786961339,81.2878048780488,77.6918799302414,3.5959249478074042
29047.6535822842,79.9160731707317,73.747261811874,6.16881135885771
9622.24050459345,74.522,69.70328194987582,4.81871805012419
4375.7788930524,69.914,68.61107428258121,1.3029257174187876
76379.2095108681,78.119,83.60073871075434,-5.4817387107543425
495.769683367165,63.914,67.80333449112449,-3.8893344911244867
1362.29952932396,56.842,67.98372855702439,-11.141728557024393
229.598918310039,50.82,67.74792309732614,-16.927923097326136
1099.63013023758,68.301,67.92904607711932,0.3719539228806781
8334.90582376743,75.2315516201179,69.43528479047995,5.796266829637943
1683.91313584141,61.06,68.05068203404439,-6.990682034044383
27797.45703125,81.317,73.48699606330527,7.830003936694723
13649.8520452803,80.295,70.5417495745975,9.753250425402499
30722.0251837567,76.5926829268293,74.09583226495911,2.496850661870184
4739.7943123408,73.016,68.68685496323761,4.329145036762398
2716.48592780431,74.265,68.26564289794185,5.9993571020581555
13999.6719197289,74.1609756097561,70.61457502865292,3.546400581103171
6515.58528418336,76.577,69.0565388871021,7.520461112897891
10314.0506725979,69.75,69.84730289689745,-0.09730289689744609
61987.9263620283,82.2048780487805,80.60476333512334,1.6001147136571632
444.199067529081,63.256,67.79259852730813,-4.536598527308129
4106.94856160358,70.349,68.55510922061185,1.7938907793881498
1298.21310320785,66.232,67.97038705352048,-1.7383870535204835
10920.191763972,75.9,69.97348926715598,5.926510732844022
756.890296490792,67.35,67.85769454497773,-0.5076945449777384
27323.6890643847,79.6775853658537,73.38836711216788,6.289218253685817
